Year,Fishery,Wild contribution,Alaska hatchery,Other hatchery,,
1960,Alaska Troll,"396,211",NA,NA,,"Data from Table 20 of 2021 Troll AMR, Hagerman et al. 2022"
1961,Alaska Troll,"399,932",NA,NA,,
1962,Alaska Troll,"643,740",NA,NA,,
1963,Alaska Troll,"693,050",NA,NA,,
1964,Alaska Troll,"730,766",NA,NA,,
1965,Alaska Troll,"695,887",NA,NA,,
1966,Alaska Troll,"528,621",NA,NA,,
1967,Alaska Troll,"443,677",NA,NA,,
1968,Alaska Troll,"779,500",NA,NA,,
1969,Alaska Troll,"388,443",NA,NA,,
1970,Alaska Troll,"267,647",NA,NA,,
1971,Alaska Troll,"391,279",NA,NA,,
1972,Alaska Troll,"791,941",NA,NA,,
1973,Alaska Troll,"540,125",NA,NA,,
1974,Alaska Troll,"845,109",NA,NA,,
1975,Alaska Troll,"214,170",NA,NA,,
1976,Alaska Troll,"524,762",NA,NA,,
1977,Alaska Troll,"506,845",NA,NA,,
1978,Alaska Troll,"1,100,902",NA,NA,,
1979,Alaska Troll,"918,845",NA,NA,,
1980,Alaska Troll,"694,019","2,881",281,,
1981,Alaska Troll,"845,007","15,920",218,,
1982,Alaska Troll,"1,279,950","35,486",435,,
1983,Alaska Troll,"1,223,558","51,882",940,,
1984,Alaska Troll,"1,061,739","69,480","2,147",,
1985,Alaska Troll,"1,493,476","106,575",179,,
1986,Alaska Troll,"1,849,726","269,396","8,881",,
1987,Alaska Troll,"949,680","87,882","3,493",,
1988,Alaska Troll,"472,404","25,795","1,948",,
1989,Alaska Troll,"1,293,847","116,906","4,759",,
1990,Alaska Troll,"1,542,036","278,996","11,573",,
1991,Alaska Troll,"1,334,370","368,824","15,866",,
1992,Alaska Troll,"1,509,056","403,208","17,636",,
1993,Alaska Troll,"1,999,697","382,645","13,369",,
1994,Alaska Troll,"2,950,482","503,675","13,441",,
1995,Alaska Troll,"1,416,322","325,838","8,061",,
1996,Alaska Troll,"1,457,108","440,086","9,558",,
1997,Alaska Troll,"927,411","240,545","2,504",,
1998,Alaska Troll,"1,307,089","322,026","7,593",,
1999,Alaska Troll,"1,757,702","500,582","13,485",,
2000,Alaska Troll,"873,853","244,139","6,862",,
2001,Alaska Troll,"1,472,486","367,856","3,655",,
2002,Alaska Troll,"973,936","335,229",895,,
2003,Alaska Troll,"934,291","283,723","2,767",,
2004,Alaska Troll,"1,602,704","307,638","4,723",,
2005,Alaska Troll,"1,701,804","329,687","4,613",,
2006,Alaska Troll,"1,143,672","215,729",866,,
2007,Alaska Troll,"1,071,758","304,144",851,,
2008,Alaska Troll,"1,002,963","269,789",964,,
2009,Alaska Troll,"1,342,777","246,040","1,442",,
2010,Alaska Troll,"1,057,087","284,112",892,,
2011,Alaska Troll,"959,039","343,360",557,,
2012,Alaska Troll,"906,923","292,237",987,,
2013,Alaska Troll,"1,643,066","731,971","1,063",,
2014,Alaska Troll,"1,607,184","618,092","1,677",,
2015,Alaska Troll,"872,564","367,951",291,,
2016,Alaska Troll,"1,048,766","336,120","2,102",,
2017,Alaska Troll,"1,763,912","386,974",897,,
2018,Alaska Troll,"628,452","313,797",374,,
2019,Alaska Troll,"660,271","313,140",492,,
2020,Alaska Troll,"564,679","184,829","1,146",,
2021,Alaska Troll,"621,220","229,118",624,,
